datetime,temp,depth,salinity,conduct,velocity
6/29/2022 12:00,12.12,-0.46,1.89,2.69,1456.97
6/29/2022 13:00,11.89,-0.46,1.9,2.69,1456.14
6/29/2022 14:00,11.96,-0.33,1.9,2.7,1456.38
6/29/2022 15:00,11.96,-0.33,1.9,2.7,1456.38
6/29/2022 16:00,10.5,-0.33,2,2.72,1450.91
6/29/2022 17:00,11.54,-0.39,1.94,2.72,1454.85
6/29/2022 18:00,11.67,-0.46,1.92,2.7,1455.31
6/29/2022 19:00,11.99,-0.39,1.9,2.7,1456.5
6/29/2022 20:00,11.77,-0.46,1.91,2.7,1455.67
6/29/2022 21:00,11.54,-0.52,1.92,2.7,1454.82
6/29/2022 22:00,11.64,-0.46,1.92,2.7,1455.19
6/29/2022 23:00,11.35,-0.46,1.94,2.7,1454.1
6/30/2022 0:00,11.38,-0.39,1.94,2.71,1454.23
6/30/2022 1:00,11.35,-0.21,1.94,2.71,1454.11
6/30/2022 2:00,10.83,-0.27,1.97,2.72,1452.15
6/30/2022 3:00,10.99,-0.27,1.97,2.72,1452.77
6/30/2022 4:00,12.31,-0.33,1.88,2.69,1457.67
6/30/2022 5:00,12.69,-0.27,1.86,2.69,1459.07
6/30/2022 6:00,12.37,-0.33,1.88,2.69,1457.9
6/30/2022 7:00,12.37,-0.33,1.88,2.69,1457.9
6/30/2022 8:00,12.37,-0.39,1.88,2.69,1457.9
6/30/2022 9:00,12.25,-0.39,1.88,2.69,1457.43
6/30/2022 10:00,12.94,-0.46,1.84,2.68,1459.97
6/30/2022 11:00,13.48,-0.27,1.82,2.69,1461.91
6/30/2022 12:00,13.39,-0.27,1.82,2.68,1461.57
6/30/2022 13:00,14.17,-0.21,1.78,2.68,1464.35
6/30/2022 14:00,14.79,-0.21,1.73,2.65,1466.49
6/30/2022 15:00,15.04,-0.14,1.72,2.65,1467.35
6/30/2022 16:00,14.94,-0.21,1.73,2.65,1467.02
6/30/2022 17:00,14.48,-0.21,1.75,2.65,1465.41
6/30/2022 18:00,14.57,-0.27,1.75,2.65,1465.74
6/30/2022 19:00,14.57,-0.27,1.75,2.65,1465.74
6/30/2022 20:00,14.7,-0.27,1.74,2.65,1466.17
6/30/2022 21:00,15.22,-0.39,1.72,2.65,1467.98
6/30/2022 22:00,15.13,-0.33,1.72,2.64,1467.65
6/30/2022 23:00,14.91,-0.39,1.72,2.64,1466.91
7/1/2022 0:00,14.6,-0.39,1.75,2.65,1465.84
7/1/2022 1:00,14.17,-0.33,1.76,2.65,1464.32
7/1/2022 2:00,13.73,-0.33,1.8,2.67,1462.79
7/1/2022 3:00,13.64,-0.39,1.8,2.66,1462.45
7/1/2022 4:00,13.01,-0.27,1.84,2.68,1460.21
7/1/2022 5:00,12.53,-0.39,1.86,2.68,1458.48
7/1/2022 6:00,12.21,-0.39,1.89,2.69,1457.32
7/1/2022 7:00,12.21,-0.46,1.89,2.69,1457.32
7/1/2022 8:00,12.12,-0.39,1.89,2.69,1456.97
7/1/2022 9:00,11.89,-0.52,1.9,2.69,1456.14
7/1/2022 10:00,11.89,-0.52,1.91,2.7,1456.14
7/1/2022 11:00,11.93,-0.46,1.9,2.7,1456.26
7/1/2022 12:00,12.31,-0.33,1.88,2.69,1457.67
7/1/2022 13:00,12.53,-0.39,1.87,2.69,1458.49
7/1/2022 14:00,12.82,-0.27,1.85,2.69,1459.53
7/1/2022 15:00,13.1,-0.27,1.83,2.68,1460.55
7/1/2022 16:00,12.85,-0.27,1.85,2.69,1459.64
7/1/2022 17:00,13.54,-0.27,1.82,2.69,1462.14
7/1/2022 18:00,13.67,-0.33,1.8,2.67,1462.57
7/1/2022 19:00,13.57,-0.46,1.8,2.67,1462.23
7/1/2022 20:00,14.57,-0.39,1.75,2.65,1465.74
7/1/2022 21:00,14.26,-0.39,1.76,2.65,1464.65
7/1/2022 22:00,14.29,-0.46,1.76,2.66,1464.76
7/1/2022 23:00,14.14,-0.39,1.77,2.66,1464.22
7/2/2022 0:00,14.01,-0.46,1.78,2.67,1463.78
7/2/2022 1:00,13.48,-0.33,1.8,2.66,1461.89
7/2/2022 2:00,12.98,-0.27,1.84,2.68,1460.1
7/2/2022 3:00,12.91,-0.33,1.84,2.68,1459.86
7/2/2022 4:00,13.07,-0.33,1.84,2.68,1460.44
7/2/2022 5:00,12.75,-0.39,1.85,2.68,1459.28
7/2/2022 6:00,12.53,-0.46,1.87,2.69,1458.49
7/2/2022 7:00,12.41,-0.39,1.87,2.69,1458.02
7/2/2022 8:00,12.31,-0.46,1.88,2.69,1457.67
7/2/2022 9:00,12.21,-0.46,1.88,2.69,1457.32
7/2/2022 10:00,12.31,-0.46,1.88,2.69,1457.67
7/2/2022 11:00,12.12,-0.39,1.89,2.69,1456.96
7/2/2022 12:00,11.67,-0.39,1.92,2.7,1455.31
7/2/2022 13:00,11.83,-0.39,1.91,2.7,1455.91
7/2/2022 14:00,12.6,-0.27,1.87,2.69,1458.72
7/2/2022 15:00,12.75,-0.27,1.86,2.69,1459.3
7/2/2022 16:00,12.94,-0.27,1.84,2.68,1459.98
7/2/2022 17:00,12.5,-0.27,1.86,2.68,1458.36
7/2/2022 18:00,12.44,-0.27,1.87,2.69,1458.14
7/2/2022 19:00,12.53,-0.27,1.87,2.69,1458.49
7/2/2022 20:00,12.66,-0.33,1.86,2.68,1458.95
7/2/2022 21:00,12.44,-0.46,1.87,2.69,1458.14
7/2/2022 22:00,12.82,-0.39,1.85,2.68,1459.52
7/2/2022 23:00,12.66,-0.33,1.86,2.68,1458.94
7/3/2022 0:00,12.53,-0.39,1.87,2.69,1458.48
7/3/2022 1:00,12.34,-0.33,1.87,2.69,1457.78
7/3/2022 2:00,12.05,-0.33,1.9,2.7,1456.73
7/3/2022 3:00,11.67,-0.27,1.91,2.69,1455.3
7/3/2022 4:00,11.18,-0.33,1.95,2.71,1453.5
7/3/2022 5:00,11.02,-0.27,1.96,2.71,1452.89
7/3/2022 6:00,10.7,-0.39,1.98,2.72,1451.66
7/3/2022 7:00,10.76,-0.39,1.98,2.72,1451.91
7/3/2022 8:00,10.66,-0.39,1.99,2.72,1451.53
7/3/2022 9:00,9.87,-0.46,2.03,2.72,1448.49
7/3/2022 10:00,9.97,-0.39,2.03,2.73,1448.89
7/3/2022 11:00,10.1,-0.46,2.02,2.73,1449.4
7/3/2022 12:00,9.84,-0.46,2.04,2.73,1448.38
7/3/2022 13:00,10.2,-0.39,2.02,2.73,1449.79
7/3/2022 14:00,9.94,-0.27,2.03,2.73,1448.76
7/3/2022 15:00,10.47,-0.27,2.01,2.73,1450.8
7/3/2022 16:00,10.76,-0.27,1.98,2.72,1451.91
7/3/2022 17:00,10.43,-0.27,2,2.72,1450.66
7/3/2022 18:00,10.4,-0.27,2,2.72,1450.54
7/3/2022 19:00,10.37,-0.27,2.01,2.73,1450.42
7/3/2022 20:00,10.24,-0.33,2.01,2.73,1449.91
7/3/2022 21:00,10.24,-0.46,2.01,2.73,1449.9
7/3/2022 22:00,10.14,-0.39,2.02,2.73,1449.53
7/3/2022 23:00,10.04,-0.39,2.03,2.73,1449.14
7/4/2022 0:00,9.97,-0.39,2.03,2.73,1448.89
7/4/2022 1:00,9.87,-0.39,2.04,2.73,1448.51
7/4/2022 2:00,9.61,-0.39,2.06,2.74,1447.48
7/4/2022 3:00,9.64,-0.39,2.05,2.74,1447.61
7/4/2022 4:00,9.64,-0.27,2.05,2.73,1447.61
7/4/2022 5:00,9.44,-0.27,2.07,2.73,1446.83
7/4/2022 6:00,9.24,-0.33,2.08,2.74,1446.05
7/4/2022 7:00,9.14,-0.39,2.09,2.74,1445.65
7/4/2022 8:00,9.14,-0.33,2.09,2.74,1445.65
7/4/2022 9:00,9.17,-0.52,2.09,2.74,1445.78
7/4/2022 10:00,9.24,-0.46,2.08,2.74,1446.04
7/4/2022 11:00,9.54,-0.46,2.07,2.74,1447.22
7/4/2022 12:00,9.77,-0.46,2.05,2.73,1448.12
7/4/2022 13:00,9.94,-0.39,2.04,2.73,1448.77
7/4/2022 14:00,10.17,-0.39,2.02,2.73,1449.65
7/4/2022 15:00,10.5,-0.39,2,2.73,1450.92
7/4/2022 16:00,10.76,-0.33,1.98,2.72,1451.91
7/4/2022 17:00,10.99,-0.27,1.97,2.72,1452.77
7/4/2022 18:00,11.12,-0.39,1.96,2.71,1453.26
7/4/2022 19:00,11.18,-0.46,1.96,2.72,1453.51
7/4/2022 20:00,11.18,-0.39,1.95,2.71,1453.5
7/4/2022 21:00,11.18,-0.46,1.95,2.71,1453.5
7/4/2022 22:00,11.09,-0.46,1.96,2.71,1453.13
7/4/2022 23:00,10.86,-0.39,1.97,2.71,1452.27
7/5/2022 0:00,11.22,-0.52,1.95,2.71,1453.62
7/5/2022 1:00,11.67,-0.46,1.93,2.71,1455.32
7/5/2022 2:00,11.57,-0.39,1.93,2.7,1454.95
7/5/2022 3:00,11.57,-0.39,1.93,2.7,1454.95
7/5/2022 4:00,11.54,-0.33,1.93,2.7,1454.83
7/5/2022 5:00,11.41,-0.33,1.93,2.7,1454.35
7/5/2022 6:00,11.38,-0.33,1.94,2.71,1454.23
7/5/2022 7:00,11.18,-0.39,1.95,2.71,1453.5
7/5/2022 8:00,11.02,-0.39,1.96,2.71,1452.89
7/5/2022 9:00,11.09,-0.39,1.96,2.71,1453.13
7/5/2022 10:00,11.28,-0.46,1.94,2.71,1453.86
7/5/2022 11:00,11.38,-0.46,1.94,2.71,1454.23
7/5/2022 12:00,11.93,-0.46,1.9,2.7,1456.26
7/5/2022 13:00,12.75,-0.46,1.86,2.7,1459.3
7/5/2022 14:00,12.91,-0.46,1.84,2.68,1459.86
7/5/2022 15:00,12.91,-0.46,1.85,2.69,1459.87
7/5/2022 16:00,13.13,-0.39,1.83,2.68,1460.66
7/5/2022 17:00,13.1,-0.33,1.83,2.68,1460.54
7/5/2022 18:00,12.98,-0.33,1.84,2.68,1460.1
7/5/2022 19:00,13.29,-0.39,1.82,2.68,1461.23
7/5/2022 20:00,13.35,-0.46,1.82,2.68,1461.45
7/5/2022 21:00,13.45,-0.46,1.82,2.68,1461.79
7/5/2022 22:00,13.42,-0.46,1.82,2.68,1461.68
7/5/2022 23:00,13.86,-0.46,1.8,2.68,1463.24
7/6/2022 0:00,14.2,-0.52,1.77,2.66,1464.44
7/6/2022 1:00,14.01,-0.46,1.78,2.66,1463.78
7/6/2022 2:00,13.95,-0.46,1.78,2.67,1463.56
7/6/2022 3:00,13.83,-0.39,1.79,2.67,1463.12
7/6/2022 4:00,13.64,-0.39,1.8,2.67,1462.46
7/6/2022 5:00,13.42,-0.33,1.81,2.67,1461.67
7/6/2022 6:00,13.13,-0.39,1.83,2.68,1460.66
7/6/2022 7:00,12.6,-0.39,1.85,2.67,1458.7
7/6/2022 8:00,12.88,-0.39,1.84,2.68,1459.75
7/6/2022 9:00,12.94,-0.52,1.84,2.68,1459.97
7/6/2022 10:00,12.66,-0.39,1.86,2.68,1458.94
7/6/2022 11:00,12.5,-0.52,1.87,2.68,1458.36
7/6/2022 12:00,12.79,-0.52,1.85,2.68,1459.4
7/6/2022 13:00,12.88,-0.46,1.85,2.69,1459.75
7/6/2022 14:00,13.54,-0.46,1.81,2.67,1462.12
7/6/2022 15:00,13.7,-0.46,1.8,2.67,1462.68
7/6/2022 16:00,13.7,-0.52,1.8,2.67,1462.68
7/6/2022 17:00,13.89,-0.46,1.79,2.67,1463.34
7/6/2022 18:00,14.14,-0.39,1.77,2.66,1464.22
7/6/2022 19:00,14.14,-0.46,1.77,2.66,1464.22
7/6/2022 20:00,14.08,-0.46,1.78,2.66,1464
7/6/2022 21:00,14.08,-0.52,1.78,2.66,1464
7/6/2022 22:00,13.89,-0.52,1.79,2.67,1463.34
7/6/2022 23:00,13.67,-0.58,1.8,2.67,1462.56
7/7/2022 0:00,13.23,-0.58,1.83,2.68,1461
7/7/2022 1:00,12.98,-0.52,1.84,2.68,1460.09
7/7/2022 2:00,12.94,-0.58,1.84,2.68,1459.97
7/7/2022 3:00,12.44,-0.58,1.86,2.68,1458.12
7/7/2022 4:00,12.02,-0.52,1.9,2.7,1456.61
7/7/2022 5:00,10.89,-0.52,1.95,2.69,1452.38
7/7/2022 6:00,10.76,-0.46,1.98,2.72,1451.9
7/7/2022 7:00,11.15,-0.52,1.96,2.72,1453.39
7/7/2022 8:00,10.96,-0.39,1.97,2.71,1452.64
7/7/2022 9:00,11.02,-0.39,1.96,2.71,1452.89
7/7/2022 10:00,10.37,-0.46,2.01,2.72,1450.41
7/7/2022 11:00,10.66,-0.58,1.99,2.72,1451.53
7/7/2022 12:00,10.92,-0.39,1.97,2.72,1452.53
7/7/2022 13:00,11.6,-0.52,1.94,2.72,1455.08
7/7/2022 14:00,11.77,-0.52,1.91,2.7,1455.66
7/7/2022 15:00,12.31,-0.52,1.89,2.7,1457.68
7/7/2022 16:00,12.41,-0.58,1.87,2.69,1458.02
7/7/2022 17:00,12.56,-0.46,1.87,2.69,1458.6
7/7/2022 18:00,12.41,-0.46,1.87,2.69,1458.02
7/7/2022 19:00,12.47,-0.46,1.87,2.69,1458.25
7/7/2022 20:00,12.6,-0.46,1.87,2.69,1458.72
7/7/2022 21:00,12.47,-0.52,1.87,2.69,1458.25
7/7/2022 22:00,12.47,-0.52,1.87,2.69,1458.25
7/7/2022 23:00,12.21,-0.46,1.88,2.69,1457.31
7/8/2022 0:00,12.18,-0.46,1.89,2.69,1457.2
7/8/2022 1:00,12.02,-0.64,1.9,2.69,1456.61
7/8/2022 2:00,12.02,-0.58,1.9,2.7,1456.62
7/8/2022 3:00,11.8,-0.46,1.91,2.7,1455.78
7/8/2022 4:00,11.7,-0.39,1.92,2.71,1455.43
7/8/2022 5:00,11.6,-0.52,1.92,2.7,1455.07
7/8/2022 6:00,11.51,-0.39,1.93,2.7,1454.71
7/8/2022 7:00,11.31,-0.33,1.94,2.7,1453.98
7/8/2022 8:00,11.22,-0.39,1.95,2.71,1453.62
7/8/2022 9:00,11.15,-0.39,1.95,2.71,1453.38
7/8/2022 10:00,11.12,-0.39,1.96,2.71,1453.26
7/8/2022 11:00,11.15,-0.46,1.95,2.71,1453.38
7/8/2022 12:00,11.12,-0.46,1.96,2.71,1453.25
7/8/2022 13:00,11.25,-0.46,1.95,2.71,1453.74
7/8/2022 14:00,11.41,-0.46,1.94,2.71,1454.35
7/8/2022 15:00,11.77,-0.46,1.92,2.71,1455.67
7/8/2022 16:00,11.86,-0.52,1.91,2.7,1456.02
7/8/2022 17:00,11.86,-0.52,1.91,2.7,1456.02
7/8/2022 18:00,11.8,-0.52,1.92,2.71,1455.79
7/8/2022 19:00,11.86,-0.46,1.91,2.7,1456.02
7/8/2022 20:00,12.09,-0.52,1.89,2.69,1456.85
7/8/2022 21:00,12.21,-0.46,1.89,2.69,1457.32
7/8/2022 22:00,12.15,-0.52,1.89,2.69,1457.08
7/8/2022 23:00,12.05,-0.58,1.9,2.7,1456.73
7/9/2022 0:00,12.28,-0.58,1.88,2.69,1457.55
7/9/2022 1:00,12.21,-0.58,1.88,2.69,1457.31
7/9/2022 2:00,11.86,-0.58,1.91,2.7,1456.02
7/9/2022 3:00,11.7,-0.52,1.92,2.7,1455.42
7/9/2022 4:00,11.54,-0.58,1.93,2.7,1454.83
7/9/2022 5:00,10.6,-0.58,1.98,2.71,1451.27
7/9/2022 6:00,10.56,-0.52,1.99,2.72,1451.16
7/9/2022 7:00,10.24,-0.52,2.01,2.72,1449.9
7/9/2022 8:00,9.41,-0.46,2.07,2.74,1446.7
7/9/2022 9:00,9.97,-0.46,2.04,2.74,1448.9
7/9/2022 10:00,9.94,-0.33,2.03,2.73,1448.76
7/9/2022 11:00,10.4,-0.33,2.01,2.73,1450.54
7/9/2022 12:00,10.73,-0.46,1.98,2.72,1451.78
7/9/2022 13:00,10.99,-0.52,1.97,2.72,1452.77
7/9/2022 14:00,11.12,-0.52,1.96,2.71,1453.25
7/9/2022 15:00,12.47,-0.52,1.89,2.71,1458.27
7/9/2022 16:00,12.69,-0.46,1.86,2.69,1459.06
7/9/2022 17:00,12.85,-0.52,1.85,2.69,1459.64
7/9/2022 18:00,13.39,-0.52,1.82,2.68,1461.56
7/9/2022 19:00,13.54,-0.52,1.81,2.68,1462.12
7/9/2022 20:00,13.45,-0.52,1.81,2.68,1461.79
7/9/2022 21:00,13.39,-0.52,1.82,2.68,1461.56
7/9/2022 22:00,13.2,-0.46,1.83,2.68,1460.89
7/9/2022 23:00,12.88,-0.58,1.84,2.68,1459.74
7/10/2022 0:00,12.5,-0.64,1.87,2.69,1458.36
7/10/2022 1:00,12.31,-0.58,1.88,2.69,1457.66
7/10/2022 2:00,12.12,-0.58,1.89,2.69,1456.96
7/10/2022 3:00,11.8,-0.58,1.91,2.69,1455.78
7/10/2022 4:00,11.57,-0.64,1.93,2.7,1454.95
7/10/2022 5:00,11.28,-0.58,1.94,2.7,1453.86
7/10/2022 6:00,10.1,-0.52,2.02,2.73,1449.4
7/10/2022 7:00,10.4,-0.46,2.01,2.73,1450.54
7/10/2022 8:00,10.24,-0.46,2.01,2.73,1449.9
7/10/2022 9:00,9.67,-0.39,2.04,2.72,1447.73
7/10/2022 10:00,9.67,-0.39,2.05,2.73,1447.74
7/10/2022 11:00,9.51,-0.33,2.06,2.73,1447.09
7/10/2022 12:00,9.81,-0.33,2.04,2.73,1448.25
7/10/2022 13:00,9.81,-0.39,2.04,2.73,1448.25
7/10/2022 14:00,9.84,-0.39,2.04,2.73,1448.38
7/10/2022 15:00,10.6,-0.39,2,2.74,1451.3
7/10/2022 16:00,11.83,-0.39,1.91,2.7,1455.9
7/10/2022 17:00,11.86,-0.39,1.91,2.7,1456.02
7/10/2022 18:00,12.15,-0.39,1.89,2.69,1457.08
7/10/2022 19:00,12.25,-0.39,1.88,2.69,1457.44
7/10/2022 20:00,12.25,-0.39,1.88,2.69,1457.44
7/10/2022 21:00,12.12,-0.39,1.89,2.69,1456.96
7/10/2022 22:00,12.15,-0.33,1.89,2.69,1457.09
7/10/2022 23:00,12.02,-0.33,1.9,2.69,1456.61
7/11/2022 0:00,11.89,-0.46,1.91,2.7,1456.15
7/11/2022 1:00,11.7,-0.46,1.92,2.7,1455.43
7/11/2022 2:00,11.48,-0.46,1.94,2.71,1454.59
7/11/2022 3:00,11.35,-0.46,1.94,2.71,1454.11
7/11/2022 4:00,11.28,-0.39,1.95,2.71,1453.87
7/11/2022 5:00,11.18,-0.52,1.95,2.71,1453.5
7/11/2022 6:00,10.92,-0.33,1.97,2.71,1452.52
7/11/2022 7:00,10.99,-0.33,1.97,2.72,1452.77
7/11/2022 8:00,10.83,-0.33,1.97,2.72,1452.15
7/11/2022 9:00,10.43,-0.21,2,2.72,1450.66
7/11/2022 10:00,10.79,-0.21,1.98,2.72,1452.03
7/11/2022 11:00,10.83,-0.14,1.98,2.72,1452.16
7/11/2022 12:00,11.05,-0.14,1.96,2.71,1453.02
7/11/2022 13:00,11.25,-0.14,1.95,2.71,1453.75
7/11/2022 14:00,11.41,-0.21,1.94,2.71,1454.35
7/11/2022 15:00,11.51,-0.21,1.94,2.71,1454.72
7/11/2022 16:00,11.7,-0.21,1.92,2.71,1455.44
7/11/2022 17:00,11.89,-0.27,1.91,2.7,1456.15
7/11/2022 18:00,12.12,-0.33,1.89,2.69,1456.97
7/11/2022 19:00,12.31,-0.33,1.88,2.69,1457.67
7/11/2022 20:00,12.18,-0.33,1.89,2.69,1457.2
7/11/2022 21:00,11.86,-0.27,1.9,2.69,1456.02
7/11/2022 22:00,11.93,-0.33,1.9,2.7,1456.26
7/11/2022 23:00,12.05,-0.39,1.9,2.7,1456.73
7/12/2022 0:00,12.28,-0.27,1.88,2.69,1457.56
7/12/2022 1:00,12.21,-0.33,1.88,2.69,1457.32
7/12/2022 2:00,12.25,-0.39,1.88,2.69,1457.44
7/12/2022 3:00,12.31,-0.46,1.88,2.69,1457.67
7/12/2022 4:00,12.18,-0.52,1.89,2.69,1457.2
7/12/2022 5:00,11.8,-0.52,1.91,2.7,1455.78
7/12/2022 6:00,11.77,-0.46,1.92,2.71,1455.67
7/12/2022 7:00,11.44,-0.46,1.93,2.71,1454.47
7/12/2022 8:00,11.28,-0.46,1.94,2.71,1453.86
7/12/2022 9:00,10.66,-0.46,1.98,2.71,1451.52
7/12/2022 10:00,10.53,-0.39,1.99,2.72,1451.04
7/12/2022 11:00,10.4,-0.27,2,2.72,1450.53
7/12/2022 12:00,10.37,-0.27,2.01,2.73,1450.42
7/12/2022 13:00,10.34,-0.27,2.01,2.73,1450.29
7/12/2022 14:00,10.3,-0.27,2.01,2.72,1450.16
7/12/2022 15:00,10.24,-0.39,2.02,2.73,1449.91
7/12/2022 16:00,10.24,-0.39,2.01,2.73,1449.91
7/12/2022 17:00,10.2,-0.39,2.02,2.73,1449.78
7/12/2022 18:00,10.2,-0.39,2.02,2.73,1449.78
7/12/2022 19:00,10.24,-0.52,2.01,2.73,1449.9
7/12/2022 20:00,10.17,-0.46,2.02,2.73,1449.65
7/12/2022 21:00,10.04,-0.46,2.03,2.73,1449.14
7/12/2022 22:00,9.91,-0.39,2.04,2.73,1448.64
7/12/2022 23:00,9.81,-0.39,2.04,2.73,1448.25
7/13/2022 0:00,9.71,-0.39,2.05,2.73,1447.87
7/13/2022 1:00,9.64,-0.39,2.05,2.73,1447.61
7/13/2022 2:00,9.44,-0.46,2.07,2.74,1446.83
7/13/2022 3:00,9.34,-0.52,2.07,2.74,1446.43
7/13/2022 4:00,9.21,-0.46,2.08,2.74,1445.91
7/13/2022 5:00,8.97,-0.52,2.1,2.74,1444.98
7/13/2022 6:00,8.84,-0.58,2.11,2.75,1444.45
7/13/2022 7:00,8.74,-0.52,2.12,2.75,1444.05
7/13/2022 8:00,8.57,-0.58,2.13,2.75,1443.38
